[20:00:42] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[20:00:44] [ServerMain/INFO]: Loaded 7 recipes
[20:00:44] [ServerMain/INFO]: Loaded 1271 advancements
[20:00:45] [Server thread/INFO]: Starting minecraft server version 1.20.1
[20:00:45] [Server thread/INFO]: Loading properties
[20:00:45] [Server thread/INFO]: Default game type: SURVIVAL
[20:00:45] [Server thread/INFO]: Generating keypair
[20:00:45] [Server thread/INFO]: Starting Minecraft server on *:25565
[20:00:45] [Server thread/INFO]: Using epoll channel type
[20:00:45] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[20:00:45] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[20:00:45] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[20:00:45] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[20:00:45] [Server thread/INFO]: Preparing level "world"
[20:00:51] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[20:00:52] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:00:52] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:00:52] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:00:53] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[20:00:53] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[20:00:54] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[20:00:54] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[20:00:55] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[20:00:55] [Worker-Main-1/INFO]: Preparing spawn area: 2%
[20:00:56] [Worker-Main-2/INFO]: Preparing spawn area: 2%
[20:00:56] [Worker-Main-3/INFO]: Preparing spawn area: 3%
[20:00:57] [Worker-Main-2/INFO]: Preparing spawn area: 5%
[20:00:57] [Worker-Main-2/INFO]: Preparing spawn area: 6%
[20:00:58] [Worker-Main-3/INFO]: Preparing spawn area: 8%
[20:00:58] [Worker-Main-3/INFO]: Preparing spawn area: 9%
[20:00:59] [Worker-Main-2/INFO]: Preparing spawn area: 10%
[20:00:59] [Worker-Main-3/INFO]: Preparing spawn area: 12%
[20:01:00] [Worker-Main-3/INFO]: Preparing spawn area: 15%
[20:01:00] [Worker-Main-3/INFO]: Preparing spawn area: 16%
[20:01:01] [Worker-Main-2/INFO]: Preparing spawn area: 17%
[20:01:01] [Worker-Main-3/INFO]: Preparing spawn area: 18%
[20:01:02] [Worker-Main-2/INFO]: Preparing spawn area: 21%
[20:01:02] [Worker-Main-2/INFO]: Preparing spawn area: 23%
[20:01:03] [Worker-Main-2/INFO]: Preparing spawn area: 25%
[20:01:03] [Worker-Main-2/INFO]: Preparing spawn area: 26%
[20:01:04] [Worker-Main-2/INFO]: Preparing spawn area: 29%
[20:01:04] [Worker-Main-2/INFO]: Preparing spawn area: 31%
[20:01:05] [Worker-Main-2/INFO]: Preparing spawn area: 32%
[20:01:05] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[20:01:06] [Worker-Main-3/INFO]: Preparing spawn area: 36%
[20:01:06] [Worker-Main-2/INFO]: Preparing spawn area: 39%
[20:01:07] [Worker-Main-2/INFO]: Preparing spawn area: 41%
[20:01:07] [Worker-Main-1/INFO]: Preparing spawn area: 43%
[20:01:08] [Worker-Main-2/INFO]: Preparing spawn area: 45%
[20:01:08] [Worker-Main-3/INFO]: Preparing spawn area: 47%
[20:01:09] [Worker-Main-1/INFO]: Preparing spawn area: 48%
[20:01:09] [Worker-Main-3/INFO]: Preparing spawn area: 51%
[20:01:10] [Worker-Main-2/INFO]: Preparing spawn area: 54%
[20:01:10] [Worker-Main-1/INFO]: Preparing spawn area: 55%
[20:01:11] [Worker-Main-2/INFO]: Preparing spawn area: 58%
[20:01:11] [Worker-Main-1/INFO]: Preparing spawn area: 60%
[20:01:12] [Worker-Main-3/INFO]: Preparing spawn area: 61%
[20:01:12] [Worker-Main-2/INFO]: Preparing spawn area: 64%
[20:01:13] [Worker-Main-2/INFO]: Preparing spawn area: 68%
[20:01:13] [Worker-Main-3/INFO]: Preparing spawn area: 70%
[20:01:14] [Worker-Main-2/INFO]: Preparing spawn area: 72%
[20:01:14] [Worker-Main-2/INFO]: Preparing spawn area: 75%
[20:01:15] [Worker-Main-1/INFO]: Preparing spawn area: 77%
[20:01:15] [Worker-Main-1/INFO]: Preparing spawn area: 81%
[20:01:16] [Worker-Main-1/INFO]: Preparing spawn area: 83%
[20:01:16] [Worker-Main-2/INFO]: Preparing spawn area: 86%
[20:01:17] [Worker-Main-1/INFO]: Preparing spawn area: 88%
[20:01:17] [Worker-Main-2/INFO]: Preparing spawn area: 90%
[20:01:18] [Worker-Main-2/INFO]: Preparing spawn area: 93%
[20:01:18] [Worker-Main-1/INFO]: Preparing spawn area: 96%
[20:01:19] [Worker-Main-1/INFO]: Preparing spawn area: 99%
[20:01:19] [Server thread/INFO]: Time elapsed: 27627 ms
[20:01:19] [Server thread/INFO]: Done (33.740s)! For help, type "help"
